Catégorie;Problème identifié;Explication du problème;Bonne pratique à adopter;Action recommandée;Référence;Corrigé?
Accessibilité;8 erreurs dans la validation du css et html;Les erreurs dans votre code entrainera potentiellement une expérience utilisateur amoindrie.;Cela permet avant tout une garantie que le site sera consultable par le plus grand nombre (navigateur +utilisateur) donc indirectement un meilleur résultat du traffic.;Régler l’ensemble des erreurs en vous servant des validateurs de code CSS et HTML.;https://www.seoinc.com/seo-blog/w3c-validation-and-seo/;√
Accessibilité;Erreurs dans le format mobile;Les pages ne sont pas vraiment adaptées à tous types d’appareil (téléphone, tablette, ordinateur de bureau).;Il est hautement conseillé que votre site soit responsive pour des raisons évidentes d’accessibilité. La navigation web depuis mars est à 50% effectuée via mobile. Vous perdez donc potentiellement 50% de vos visiteurs.;Ajuster le css pour une meilleure responsivité.;https://www.broadbandsearch.net/blog/mobile-desktop-internet-usage-statistics;√
Accessibilité;Une <li> dans le header est vide lin:62;Par principe on évite de laisser des balises vides.;Cela n’apporte rien concrètement mais par principe osé vite de laisser des balises vides. Au minimum pour garder un code propre.;Supprimer la balise <li> vide.;X;√
Accessibilité;Sous titres du logo dans le header est beaucoup trop petit;Le sous titre de l’image du logo est vraiment trop petit.;Même si cela ne changera directement pas l’accessibilité ou le SEO, il me parait important de revoir le logo.;Reprendre le logo de base et augmenter son sous-titre.;X;X
Accessibilité;Le titre de la page 2 dans la navbar;Le titre de la page 2 ne donne pas d’indication où le lien vous dirige.;Il est important de bien titrer vos pages et vos liens pour des raisons d’accessibilité évidentes. Ils peuvent notamment faire partie de votre key wording et donc améliorer votre référencement naturel.;Changer le titre du lien et le fichier html en “Contact”;https://www.w3.org/TR/REC-html40/struct/links.html;√
Accessibilité;Font-size trop petit;La balise <p> a une taille de police de 11px.;Si le WCAG ne décrit pas une taille de police minimum, une règle commune de base conseille de ne pas aller en dessous de 12px pour des raisons de lisibilité.;Augmenter la taille de police pour les balise <p>.;https://accessibility.psu.edu/fontsizehtml/;√
Accessibilité;Pas d’image de texte.(ref: la citation) il faut que le texte soit codé.;Des images comportent du texte ce qui d’emblée écartent certains utilisateurs.;Pensez globalement à tous les utilisateurs potentiels qui peuvent parcourir vos pages. Le texte quelqu’il soit doit être écrit dans le code.;Remplacer la citation sous forme d’image avec les balises <q> et les textes dans des balises <h> ;https://accessibility.princeton.edu/how/content/images-text;√
Accessibilité;Boutons ou liens différents pour un lien unique.;Il ajoute de la confusion aux visiteurs et rend la navigation plus compliquée.;Essayer d’harmoniser l’aspect de vos boutons et éviter de proposer plusieurs designs pour le même lien.;Harmoniser le design des boutons qui possèdent le même lien.;https://www.webmarketingpros.com/how-multiple-links-on-the-same-page-affect-seo/;X
Accessibilité;Les liens des réseaux sociaux doivent aboutir…;Les liens (backlinks) sont vides. Ils peuvent être considéré par l’algorithme de Google Panda comme  “thin content” (= contenu mince) et affectera votre SEO.;Lier les liens avec les sites correspondants vous aidera à améliorer votre SEO. Google inspecte la qualité de vos backlinks. Si ils pointent vers de bons sites, votre référencement s’améliorera naturellement.;Lier les liens vers vos réseaux sociaux.;https://www.searchenginejournal.com/google-algorithm-history/panda-update/;√
Accessibilité;Couleur typo footer pas assez de contraste;Le contraste est trop faible. Google vous notera mieux avec l’accessibilité de votre page est optimale.;Changer de couleur de police d’écriture afin de marquer un contraste prégnant avec la couleur de fond améliorera l’accessibilité de votre page et ainsi votre SEO.;Choix d’un nouvelle couleur de police d’écriture.;https://developer.mozilla.org/en-US/docs/Web/Accessibility/Understanding_WCAG/Perceivable/Color_contrast;√
Accessibilité;Les liens des réseaux sociaux n’ont pas de textes associés, ni d’adresses;Un lien devrait posséder un texte comme alternative si son adresse n’est pas parlante (exemple: liens par des icônes ou des logos).;Pour une meilleure accessibilité, envisagez de proposer des alternatives.;Ajout des balises <aria-label> pour contextualiser les liens.;https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-label;√
Accessibilité;La hiérarchie des headings n’est pas respectée.;Il y a bien un seul h1 mais la hiérarchie des headings n’est pas respectée.;Pour des questions d’accessibilité, il est important de respecter la hiérarchie des headings. Notamment pour aider les technologies d’assistance (comme un lecteur d’écran par exemple).;Rétablir la hiérarchie des headings.;https://www.w3.org/TR/WCAG20-TECHS/H42.html;√
Accessibilité;Il manque un label associé aux input forms.;Les lecteurs d’écran ne pourront determiner à quoi correspond les formulaires.;Un label doit être associé à son formulaire, cela permet aux personnes malvoyantes de comprendre à quoi sert le formulaire.;Rajouter les bons labels au formulaire.;https://www.w3.org/WAI/tutorials/forms/labels/;√
Optimisation;HTML + JS + CSS non minifiés.;Les fichiers ne sont pas minifiés. Il prennent alors plus de place et par conséquent prennent plus de temps lors du chargement de la page.;Minifier les codes permet d’optimiser les performance de chargement des pages pour une meilleure expérience utilisateur.;Minifier l’ensemble des codes.;https://developers.google.com/speed/docs/insights/MinifyResources;√
Optimisation;Beaucoup de code en javascript pour des fonctions basiques. Placement du code dans le head. Non utilisation des tags “defer” et “async”;L’ensemble des fichiers JS semble permettre tout un tas de fonctions qui pourrait être remplacé par du CSS quand nécessaire ou simplement supprimé.;Il est préférable de privilégier le HTML/CSS sur le JS quand cela est possible car les googlebots peuvent être confus ou ralentis. Si le JS est obligatoire, pensez à ajouter le tag defer ou async pour charger le code après le chargement du content.;Il faudra faire un tri dans le dossier JS afin de déterminer quels fichiers sont strictement nécessaires au bon fonctionnement du site. Rajouter les tag defer ou async en fonction. ;https://medium.com/@shilpasyal55/optimize-dom-performance-with-javascript-async-defer-attributes-e5046f51f795#:~:text=Key%20Takeaways,script%20but%20async%20doesn't.;√
Optimisation;Les polices d’écriture sont situées localement et l’autre via un CDN.;Cela revient à l’utilisateur de télécharger passivement les polices d’écriture et ralentira potentiellement le chargement du site conduisant à une expérience utilisateur amoindrie.;Préférer la méthode CDN pour une optimisation du chargement de page.;Virer police local;https://web.dev/font-best-practices/;X
Optimisation;Le fichier font-awesome.css, boostrap.css et-line.css ne sont pas optimisés.;Les fichiers importent beaucoup d’assets alors qu’il n’y en a très peu d’utiliser sur le site.;Il serait préférable dans un soucis du chargement rapide de votre site, de ne garder que le minimum de code dans les fichiers. Par ailleurs, il est toujours bon de minifier votre code. Si vous n’avez besoin de que de peu d’assets alors il est conseillé d’utiliser un CDN que l’on placera dans le head…;Optimiser les fichiers CSS en simplifiant le code et ne garder que le strict nécessaire.;https://developer.mozilla.org/en-US/docs/Learn/Performance/CSS;X
Optimisation;Beaucoup trop de police d’écriture.;Trop de police d’écriture appelé ce qui ralentit notamment le chargement du site.;Le fichier bootstrap.css est trop lourd. Préférer moins de police d’écriture via un cdn dans le head en utilisant éventuellement le tag “preconnect “ pour charger rapidement la police au chargement de la page. A contrario utiliser l’attribut font-display: swap pour charger d’abord une police commune comme fallback laissant du temps au navigateur pour charger la “bonne police”.;Trier les police d’écriture à garder. Supprimer le fichier Boostrap si possible et le remplacer par l’utilisation de son équivalentCDN dans le head.;https://web.dev/font-best-practices/;X
